sp,species,family,time,lifeSpan,floweringTime,fruitsTime,lowerLimit,higherLimit,,
Pri.ame,Primula amethystina,Primulaceae,forb,perennial,Jun-Jul,,3400,5000,,
Pru.vul,Prunella vulgaris,Lamiaceae,forb,perennial,Apr-Jun,Jul-Oct,0,3200,,
Ran.tan,Ranunculus tanguticus,Ranunculaceae,forb,perennial,Jun-Oct,,2200,4200,,
Rho.yun,Rhodiola yunnanensis,Crassulaceae,forb,perennial,May-Jul,Jun-Aug,1000,4000,,
Sag.jap,Sagina japonica,Caryophyllaceae,forb,annual or biennial,Apr-May,May-Jun,100,4000,,
Sal.sou,Salix souliei,Salicaceae,shrub,perennial,Jun,Jul-Aug,4200,4800,,
Sau.cet,Saussurea ceterach,Asteraceae ,forb,perennial,Aug-Sep,Aug-Sep,3800,4900,,
Sau.gra,Saussurea graminea,Asteraceae ,forb,perennial,Jul-Sep,Jul-Sep,3000,5400,,
Sau.hie,Saussurea hieracioides,Asteraceae ,forb,perennial,Jun-Sep,Jun-Sep,4400,5200,,
Sau.pac,Saussurea pachyneura,Asteraceae ,forb,perennial,Aug-Sep,Aug-Sep,3000,4700,,
Sau.sub,Saussurea subulisquama,Asteraceae ,forb,perennial,Jul-Sep,Jul-Sep,2400,4600,,
Sax.lin,Saxifraga linearifolia,Saxifragaceae,forb,perennial,Jul-Sep,Jul-Sep,3900,4200,,
Sib.pro,Sibbaldia pentaphylla,Rosaceae,forb,perennial,Jun每Aug,Jun每Aug,3700,4500,,
Swe.mac,Swertia macrosperma,Gentianaceae,forb,annual,Jul-Nov,Jul-Nov,1400,4000,,
Tan.tat,Tanacetum tatsienense,Asteraceae ,forb,perennial,Jul-Sep,Jul-Sep,3500,5200,,
Tar.lug,Taraxacum lugubre,Asteraceae ,forb,perennial,summer,,4000,4600,,
Tri.rep,Trifolium repens,Fabaceae ,forb,perennial,May-Oct,May-Oct,,,,
Ver.sze,Veronica szechuanica,Scrophulariaceae ,forb,perennial,Jun-Jul,,1600,4400,,
Vio.bif,Viola biflora var. rockiana ,Violaceae,forb,perennial,Jun-Jul,Jul-Aug,2500,4300,,
Vio.sze,Viola szetschwanensis,Violaceae,forb,perennial,May-Sep,Jul-Oct,2400,4000,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
